datetime,month,hour,irradiance_w_m2,ambient_temp_c,panel_temp_c,power_output_kw,electricity_price_kwh
2024-01-03 23:00:00,1,23,0,-1.03,-1.03,0,0.096
2024-01-04 00:00:00,1,0,0,-4.24,-4.24,0,0.096
2024-01-04 01:00:00,1,1,0,1.27,1.27,0,0.084
2024-01-04 02:00:00,1,2,0,2.72,2.72,0,0.099
2024-01-04 03:00:00,1,3,0,1.0,1.0,0,0.084
2024-01-04 04:00:00,1,4,0,4.84,4.84,0,0.098
2024-01-04 05:00:00,1,5,0,-1.53,-1.53,0,0.091
2024-01-04 06:00:00,1,6,400.24,3.71,23.71,3.621,0.113
2024-01-04 07:00:00,1,7,464.66,8.5,28.5,4.123,0.106
2024-01-04 08:00:00,1,8,505.42,9.61,29.61,4.465,0.128
2024-01-04 09:00:00,1,9,538.84,7.07,27.07,4.809,0.125
2024-01-04 10:00:00,1,10,564.01,9.65,29.65,4.982,0.127
2024-01-04 11:00:00,1,11,592.53,5.38,25.38,5.325,0.116
2024-01-04 12:00:00,1,12,590.74,7.31,27.31,5.267,0.198
2024-01-04 13:00:00,1,13,576.65,8.31,28.31,5.121,0.199
2024-01-04 14:00:00,1,14,571.79,2.44,22.44,5.199,0.186
2024-01-04 15:00:00,1,15,522.57,3.79,23.79,4.726,0.198
2024-01-04 16:00:00,1,16,488.48,1.82,21.82,4.452,0.195
2024-01-04 17:00:00,1,17,466.98,3.4,23.4,4.23,0.19
2024-01-04 18:00:00,1,18,380.41,2.76,22.76,3.454,0.202
2024-01-04 19:00:00,1,19,0,-4.14,-4.14,0,0.096
2024-01-04 20:00:00,1,20,0,-0.11,-0.11,0,0.097
2024-01-04 21:00:00,1,21,0,1.91,1.91,0,0.095
2024-01-04 22:00:00,1,22,0,-0.09,-0.09,0,0.098
2024-01-04 23:00:00,1,23,0,-4.07,-4.07,0,0.086
2024-01-05 00:00:00,1,0,0,1.92,1.92,0,0.088
2024-01-05 01:00:00,1,1,0,0.82,0.82,0,0.091
2024-01-05 02:00:00,1,2,0,0.31,0.31,0,0.091
2024-01-05 03:00:00,1,3,0,2.46,2.46,0,0.089
2024-01-05 04:00:00,1,4,0,2.03,2.03,0,0.087
2024-01-05 05:00:00,1,5,0,-2.49,-2.49,0,0.084
2024-01-05 06:00:00,1,6,249.56,1.93,21.93,2.274,0.119
2024-01-05 07:00:00,1,7,287.79,7.62,27.62,2.563,0.109
2024-01-05 08:00:00,1,8,372.46,4.84,24.84,3.354,0.132
2024-01-05 09:00:00,1,9,355.5,5.25,25.25,3.196,0.106
2024-01-05 10:00:00,1,10,370.0,1.94,21.94,3.371,0.108
2024-01-05 11:00:00,1,11,419.28,0.14,20.14,3.847,0.111
2024-01-05 12:00:00,1,12,426.4,9.74,29.74,3.765,0.19
2024-01-05 13:00:00,1,13,458.94,1.26,21.26,4.192,0.18
2024-01-05 14:00:00,1,14,409.73,8.73,28.73,3.633,0.178
2024-01-05 15:00:00,1,15,344.82,4.4,24.4,3.111,0.158
2024-01-05 16:00:00,1,16,347.77,9.41,29.41,3.075,0.196
2024-01-05 17:00:00,1,17,277.75,4.01,24.01,2.51,0.186
2024-01-05 18:00:00,1,18,251.94,0.54,20.54,2.308,0.183
2024-01-05 19:00:00,1,19,0,-1.96,-1.96,0,0.102
2024-01-05 20:00:00,1,20,0,-3.82,-3.82,0,0.097
2024-01-05 21:00:00,1,21,0,1.06,1.06,0,0.098
2024-01-05 22:00:00,1,22,0,-2.74,-2.74,0,0.092
2024-01-05 23:00:00,1,23,0,-0.49,-0.49,0,0.091
2024-01-06 00:00:00,1,0,0,3.6,3.6,0,0.102
2024-01-06 01:00:00,1,1,0,-1.95,-1.95,0,0.094
2024-01-06 02:00:00,1,2,0,1.1,1.1,0,0.097
2024-01-06 03:00:00,1,3,0,4.48,4.48,0,0.086
2024-01-06 04:00:00,1,4,0,-2.89,-2.89,0,0.095
2024-01-06 05:00:00,1,5,0,-3.43,-3.43,0,0.085
2024-01-06 06:00:00,1,6,380.11,0.75,20.75,3.479,0.117
2024-01-06 07:00:00,1,7,443.41,5.94,25.94,3.976,0.11
2024-01-06 08:00:00,1,8,508.12,7.07,27.07,4.535,0.117
2024-01-06 09:00:00,1,9,558.38,6.87,26.87,4.988,0.127
2024-01-06 10:00:00,1,10,579.65,6.25,26.25,5.191,0.131
2024-01-06 11:00:00,1,11,594.97,4.25,24.25,5.371,0.122
2024-01-06 12:00:00,1,12,613.07,9.08,29.08,5.427,0.159
2024-01-06 13:00:00,1,13,585.49,1.66,21.66,5.34,0.192
2024-01-06 14:00:00,1,14,564.75,5.69,25.69,5.069,0.161
2024-01-06 15:00:00,1,15,549.41,6.89,26.89,4.907,0.202
2024-01-06 16:00:00,1,16,499.75,5.0,25.0,4.498,0.159
2024-01-06 17:00:00,1,17,449.04,0.4,20.4,4.116,0.171
2024-01-06 18:00:00,1,18,383.65,2.5,22.5,3.487,0.203
2024-01-06 19:00:00,1,19,0,3.36,3.36,0,0.094
2024-01-06 20:00:00,1,20,0,4.51,4.51,0,0.102
2024-01-06 21:00:00,1,21,0,1.72,1.72,0,0.087
2024-01-06 22:00:00,1,22,0,-4.6,-4.6,0,0.097
2024-01-06 23:00:00,1,23,0,-0.29,-0.29,0,0.095
2024-01-07 00:00:00,1,0,0,4.16,4.16,0,0.086
2024-01-07 01:00:00,1,1,0,0.85,0.85,0,0.095
2024-01-07 02:00:00,1,2,0,-0.08,-0.08,0,0.084
2024-01-07 03:00:00,1,3,0,-1.52,-1.52,0,0.089
2024-01-07 04:00:00,1,4,0,1.7,1.7,0,0.099
2024-01-07 05:00:00,1,5,0,-1.7,-1.7,0,0.096
2024-01-07 06:00:00,1,6,315.62,2.88,22.88,2.865,0.127
2024-01-07 07:00:00,1,7,312.15,5.5,25.5,2.804,0.112
2024-01-07 08:00:00,1,8,397.02,3.23,23.23,3.598,0.115
2024-01-07 09:00:00,1,9,431.85,5.15,25.15,3.884,0.123
2024-01-07 10:00:00,1,10,391.3,5.43,25.43,3.516,0.109
2024-01-07 11:00:00,1,11,445.65,3.62,23.62,4.033,0.122
2024-01-07 12:00:00,1,12,384.43,7.6,27.6,3.424,0.182
2024-01-07 13:00:00,1,13,407.89,9.28,29.28,3.608,0.19
2024-01-07 14:00:00,1,14,455.49,1.21,21.21,4.161,0.185
2024-01-07 15:00:00,1,15,342.0,2.39,22.39,3.11,0.183
2024-01-07 16:00:00,1,16,309.32,5.52,25.52,2.778,0.205
2024-01-07 17:00:00,1,17,312.75,9.13,29.13,2.768,0.161
2024-01-07 18:00:00,1,18,279.87,8.32,28.32,2.485,0.191
2024-01-07 19:00:00,1,19,0,0.09,0.09,0,0.087
2024-01-07 20:00:00,1,20,0,3.35,3.35,0,0.102
2024-01-07 21:00:00,1,21,0,-2.56,-2.56,0,0.093
2024-01-07 22:00:00,1,22,0,-1.16,-1.16,0,0.1
2024-01-07 23:00:00,1,23,0,0.08,0.08,0,0.1
2024-01-08 00:00:00,1,0,0,3.64,3.64,0,0.088
2024-01-08 01:00:00,1,1,0,2.9,2.9,0,0.09
2024-01-08 02:00:00,1,2,0,4.34,4.34,0,0.092
2024-01-08 03:00:00,1,3,0,3.21,3.21,0,0.088
2024-01-08 04:00:00,1,4,0,-2.01,-2.01,0,0.094
2024-01-08 05:00:00,1,5,0,4.99,4.99,0,0.092
2024-01-08 06:00:00,1,6,401.54,1.49,21.49,3.665,0.113
2024-01-08 07:00:00,1,7,453.5,5.52,25.52,4.073,0.117
2024-01-08 08:00:00,1,8,487.55,3.22,23.22,4.419,0.124
2024-01-08 09:00:00,1,9,530.76,5.72,25.72,4.763,0.126
2024-01-08 10:00:00,1,10,582.99,0.44,20.44,5.343,0.124
2024-01-08 11:00:00,1,11,588.63,8.11,28.11,5.232,0.123
2024-01-08 12:00:00,1,12,619.23,8.21,28.21,5.502,0.18
2024-01-08 13:00:00,1,13,593.28,0.37,20.37,5.438,0.185
2024-01-08 14:00:00,1,14,588.17,8.7,28.7,5.215,0.177
2024-01-08 15:00:00,1,15,539.7,5.26,25.26,4.852,0.191
2024-01-08 16:00:00,1,16,506.19,4.1,24.1,4.572,0.163
2024-01-08 17:00:00,1,17,470.53,4.69,24.69,4.24,0.172
2024-01-08 18:00:00,1,18,405.99,6.93,26.93,3.626,0.198
2024-01-08 19:00:00,1,19,0,3.52,3.52,0,0.099
2024-01-08 20:00:00,1,20,0,-1.2,-1.2,0,0.088
2024-01-08 21:00:00,1,21,0,2.19,2.19,0,0.097
2024-01-08 22:00:00,1,22,0,3.72,3.72,0,0.083
2024-01-08 23:00:00,1,23,0,-4.32,-4.32,0,0.095
2024-01-09 00:00:00,1,0,0,4.21,4.21,0,0.102
2024-01-09 01:00:00,1,1,0,2.47,2.47,0,0.091
2024-01-09 02:00:00,1,2,0,-4.02,-4.02,0,0.095
2024-01-09 03:00:00,1,3,0,3.73,3.73,0,0.091
2024-01-09 04:00:00,1,4,0,1.94,1.94,0,0.1
2024-01-09 05:00:00,1,5,0,-4.54,-4.54,0,0.098
2024-01-09 06:00:00,1,6,394.99,2.93,22.93,3.584,0.107
2024-01-09 07:00:00,1,7,454.4,5.31,25.31,4.085,0.127
2024-01-09 08:00:00,1,8,483.16,1.7,21.7,4.406,0.129
2024-01-09 09:00:00,1,9,531.05,6.2,26.2,4.757,0.13
2024-01-09 10:00:00,1,10,571.65,1.43,21.43,5.218,0.111
2024-01-09 11:00:00,1,11,573.56,2.55,22.55,5.213,0.127
2024-01-09 12:00:00,1,12,607.1,9.01,29.01,5.376,0.163
2024-01-09 13:00:00,1,13,587.01,4.42,24.42,5.295,0.184
2024-01-09 14:00:00,1,14,570.18,6.39,26.39,5.103,0.168
2024-01-09 15:00:00,1,15,529.39,8.45,28.45,4.699,0.174
2024-01-09 16:00:00,1,16,489.49,4.83,24.83,4.408,0.184
2024-01-09 17:00:00,1,17,471.47,5.75,25.75,4.231,0.17
2024-01-09 18:00:00,1,18,406.33,9.78,29.78,3.587,0.169
2024-01-09 19:00:00,1,19,0,0.66,0.66,0,0.096
2024-01-09 20:00:00,1,20,0,2.45,2.45,0,0.083
2024-01-09 21:00:00,1,21,0,1.06,1.06,0,0.092
2024-01-09 22:00:00,1,22,0,4.04,4.04,0,0.088
2024-01-09 23:00:00,1,23,0,2.99,2.99,0,0.094
2024-01-10 00:00:00,1,0,0,-1.48,-1.48,0,0.095
2024-01-10 01:00:00,1,1,0,1.21,1.21,0,0.096
2024-01-10 02:00:00,1,2,0,2.21,2.21,0,0.095
2024-01-10 03:00:00,1,3,0,3.38,3.38,0,0.095
2024-01-10 04:00:00,1,4,0,4.03,4.03,0,0.095
2024-01-10 05:00:00,1,5,0,-1.91,-1.91,0,0.091
2024-01-10 06:00:00,1,6,409.29,5.8,25.8,3.672,0.106
2024-01-10 07:00:00,1,7,461.66,2.95,22.95,4.189,0.108
2024-01-10 08:00:00,1,8,501.58,1.32,21.32,4.581,0.132
2024-01-10 09:00:00,1,9,557.96,5.31,25.31,5.015,0.128
2024-01-10 10:00:00,1,10,586.19,2.57,22.57,5.327,0.117
2024-01-10 11:00:00,1,11,603.05,8.06,28.06,5.361,0.113
2024-01-10 12:00:00,1,12,618.52,1.15,21.15,5.652,0.162
2024-01-10 13:00:00,1,13,607.59,9.67,29.67,5.366,0.191
2024-01-10 14:00:00,1,14,591.9,9.8,29.8,5.225,0.195
2024-01-10 15:00:00,1,15,553.05,3.66,23.66,5.004,0.156
2024-01-10 16:00:00,1,16,498.19,5.37,25.37,4.477,0.189
2024-01-10 17:00:00,1,17,455.15,6.72,26.72,4.068,0.196
2024-01-10 18:00:00,1,18,384.33,9.4,29.4,3.398,0.167
2024-01-10 19:00:00,1,19,0,-4.75,-4.75,0,0.1
2024-01-10 20:00:00,1,20,0,0.61,0.61,0,0.1
2024-01-10 21:00:00,1,21,0,-2.79,-2.79,0,0.083
2024-01-10 22:00:00,1,22,0,3.24,3.24,0,0.1
2024-01-10 23:00:00,1,23,0,-1.98,-1.98,0,0.09
2024-01-11 00:00:00,1,0,0,-3.6,-3.6,0,0.101
2024-01-11 01:00:00,1,1,0,-1.96,-1.96,0,0.092
2024-01-11 02:00:00,1,2,0,-4.03,-4.03,0,0.1
2024-01-11 03:00:00,1,3,0,-3.64,-3.64,0,0.091
2024-01-11 04:00:00,1,4,0,1.7,1.7,0,0.097
2024-01-11 05:00:00,1,5,0,4.46,4.46,0,0.09
2024-01-11 06:00:00,1,6,386.18,7.42,27.42,3.442,0.115
2024-01-11 07:00:00,1,7,451.34,0.99,20.99,4.127,0.115
2024-01-11 08:00:00,1,8,481.31,9.52,29.52,4.254,0.114
2024-01-11 09:00:00,1,9,559.44,4.43,24.43,5.046,0.129
2024-01-11 10:00:00,1,10,580.63,0.99,20.99,5.309,0.119
2024-01-11 11:00:00,1,11,587.53,9.78,29.78,5.187,0.115
2024-01-11 12:00:00,1,12,584.89,1.9,21.9,5.329,0.197
2024-01-11 13:00:00,1,13,599.7,4.55,24.55,5.407,0.187
2024-01-11 14:00:00,1,14,554.06,5.97,25.97,4.967,0.194
2024-01-11 15:00:00,1,15,526.46,2.44,22.44,4.787,0.183
2024-01-11 16:00:00,1,16,510.61,0.69,20.69,4.675,0.165
2024-01-11 17:00:00,1,17,466.55,2.16,22.16,4.247,0.171
2024-01-11 18:00:00,1,18,416.02,1.48,21.48,3.797,0.155
2024-01-11 19:00:00,1,19,0,3.58,3.58,0,0.085
2024-01-11 20:00:00,1,20,0,-3.7,-3.7,0,0.087
2024-01-11 21:00:00,1,21,0,-3.26,-3.26,0,0.095
2024-01-11 22:00:00,1,22,0,-4.74,-4.74,0,0.082
2024-01-11 23:00:00,1,23,0,2.9,2.9,0,0.087
2024-01-12 00:00:00,1,0,0,-1.76,-1.76,0,0.085
2024-01-12 01:00:00,1,1,0,-4.48,-4.48,0,0.097
2024-01-12 02:00:00,1,2,0,0.26,0.26,0,0.097
2024-01-12 03:00:00,1,3,0,-0.24,-0.24,0,0.098
2024-01-12 04:00:00,1,4,0,0.13,0.13,0,0.084
2024-01-12 05:00:00,1,5,0,0.04,0.04,0,0.101
2024-01-12 06:00:00,1,6,411.33,0.43,20.43,3.77,0.129
2024-01-12 07:00:00,1,7,450.09,5.21,25.21,4.047,0.132
2024-01-12 08:00:00,1,8,499.16,0.61,20.61,4.571,0.115
2024-01-12 09:00:00,1,9,541.03,6.86,26.86,4.833,0.13
2024-01-12 10:00:00,1,10,556.44,0.73,20.73,5.093,0.121
2024-01-12 11:00:00,1,11,584.19,0.66,20.66,5.349,0.122
2024-01-12 12:00:00,1,12,593.01,5.48,25.48,5.327,0.205
2024-01-12 13:00:00,1,13,591.33,5.31,25.31,5.315,0.185
2024-01-12 14:00:00,1,14,581.28,0.99,20.99,5.315,0.198
2024-01-12 15:00:00,1,15,552.18,6.51,26.51,4.94,0.191
2024-01-12 16:00:00,1,16,498.06,2.15,22.15,4.534,0.166
2024-01-12 17:00:00,1,17,449.9,3.39,23.39,4.075,0.176
2024-01-12 18:00:00,1,18,397.07,0.95,20.95,3.632,0.188
2024-01-12 19:00:00,1,19,0,-1.26,-1.26,0,0.085
2024-01-12 20:00:00,1,20,0,4.23,4.23,0,0.083
2024-01-12 21:00:00,1,21,0,3.32,3.32,0,0.084
2024-01-12 22:00:00,1,22,0,-4.03,-4.03,0,0.097
2024-01-12 23:00:00,1,23,0,3.12,3.12,0,0.093
2024-01-13 00:00:00,1,0,0,0.86,0.86,0,0.093
2024-01-13 01:00:00,1,1,0,-1.7,-1.7,0,0.084
2024-01-13 02:00:00,1,2,0,-1.46,-1.46,0,0.095
2024-01-13 03:00:00,1,3,0,2.5,2.5,0,0.099
2024-01-13 04:00:00,1,4,0,2.21,2.21,0,0.101
2024-01-13 05:00:00,1,5,0,1.0,1.0,0,0.089
2024-01-13 06:00:00,1,6,388.51,5.78,25.78,3.486,0.123
2024-01-13 07:00:00,1,7,436.09,2.24,22.24,3.968,0.128
2024-01-13 08:00:00,1,8,510.5,3.68,23.68,4.619,0.12
2024-01-13 09:00:00,1,9,555.23,8.07,28.07,4.936,0.132
2024-01-13 10:00:00,1,10,577.75,8.18,28.18,5.134,0.122
2024-01-13 11:00:00,1,11,610.35,0.26,20.26,5.597,0.128
2024-01-13 12:00:00,1,12,587.22,2.67,22.67,5.334,0.19
2024-01-13 13:00:00,1,13,586.78,3.09,23.09,5.321,0.155
2024-01-13 14:00:00,1,14,575.86,8.7,28.7,5.106,0.175
2024-01-13 15:00:00,1,15,546.75,1.42,21.42,4.991,0.157
2024-01-13 16:00:00,1,16,488.61,7.46,27.46,4.354,0.176
2024-01-13 17:00:00,1,17,446.57,3.41,23.41,4.045,0.191
2024-01-13 18:00:00,1,18,402.7,7.77,27.77,3.584,0.159
2024-01-13 19:00:00,1,19,0,-4.47,-4.47,0,0.085
2024-01-13 20:00:00,1,20,0,1.18,1.18,0,0.095
2024-01-13 21:00:00,1,21,0,-2.28,-2.28,0,0.095
2024-01-13 22:00:00,1,22,0,-0.14,-0.14,0,0.091
2024-01-13 23:00:00,1,23,0,-2.27,-2.27,0,0.097
2024-01-14 00:00:00,1,0,0,-3.86,-3.86,0,0.091
2024-01-14 01:00:00,1,1,0,-2.17,-2.17,0,0.096
2024-01-14 02:00:00,1,2,0,-0.13,-0.13,0,0.095
2024-01-14 03:00:00,1,3,0,-4.55,-4.55,0,0.09
2024-01-14 04:00:00,1,4,0,0.99,0.99,0,0.082
2024-01-14 05:00:00,1,5,0,-1.99,-1.99,0,0.086
2024-01-14 06:00:00,1,6,390.22,1.37,21.37,3.563,0.113
2024-01-14 07:00:00,1,7,461.64,0.08,20.08,4.237,0.108
2024-01-14 08:00:00,1,8,508.15,3.8,23.8,4.595,0.118
2024-01-14 09:00:00,1,9,553.67,8.33,28.33,4.917,0.105
2024-01-14 10:00:00,1,10,554.9,8.62,28.62,4.922,0.104
2024-01-14 11:00:00,1,11,607.67,9.21,29.21,5.377,0.12
2024-01-14 12:00:00,1,12,608.38,5.73,25.73,5.459,0.176
2024-01-14 13:00:00,1,13,574.02,1.15,21.15,5.246,0.171
2024-01-14 14:00:00,1,14,577.93,8.01,28.01,5.139,0.197
2024-01-14 15:00:00,1,15,524.95,9.2,29.2,4.645,0.197
2024-01-14 16:00:00,1,16,503.55,2.43,22.43,4.579,0.181
2024-01-14 17:00:00,1,17,444.17,3.96,23.96,4.014,0.172
2024-01-14 18:00:00,1,18,386.73,3.33,23.33,3.504,0.181
2024-01-14 19:00:00,1,19,0,-3.86,-3.86,0,0.092
2024-01-14 20:00:00,1,20,0,4.06,4.06,0,0.089
2024-01-14 21:00:00,1,21,0,2.27,2.27,0,0.098
2024-01-14 22:00:00,1,22,0,3.15,3.15,0,0.087
2024-01-14 23:00:00,1,23,0,-3.54,-3.54,0,0.086
2024-01-15 00:00:00,1,0,0,1.02,1.02,0,0.097
2024-01-15 01:00:00,1,1,0,1.56,1.56,0,0.086
2024-01-15 02:00:00,1,2,0,2.73,2.73,0,0.092
2024-01-15 03:00:00,1,3,0,2.54,2.54,0,0.097
2024-01-15 04:00:00,1,4,0,-0.51,-0.51,0,0.1
2024-01-15 05:00:00,1,5,0,0.64,0.64,0,0.095
2024-01-15 06:00:00,1,6,414.57,6.25,26.25,3.713,0.122
2024-01-15 07:00:00,1,7,434.5,1.51,21.51,3.965,0.116
2024-01-15 08:00:00,1,8,490.99,3.03,23.03,4.454,0.105
2024-01-15 09:00:00,1,9,533.84,5.07,25.07,4.803,0.117
2024-01-15 10:00:00,1,10,586.47,0.57,20.57,5.372,0.105
2024-01-15 11:00:00,1,11,607.4,8.64,28.64,5.387,0.121
2024-01-15 12:00:00,1,12,598.51,5.07,25.07,5.385,0.183
2024-01-15 13:00:00,1,13,609.02,7.92,27.92,5.417,0.177
2024-01-15 14:00:00,1,14,579.28,8.1,28.1,5.149,0.171
2024-01-15 15:00:00,1,15,527.46,4.76,24.76,4.752,0.158
2024-01-15 16:00:00,1,16,515.97,1.04,21.04,4.717,0.172
2024-01-15 17:00:00,1,17,451.95,7.14,27.14,4.033,0.164
2024-01-15 18:00:00,1,18,397.51,2.48,22.48,3.614,0.177
2024-01-15 19:00:00,1,19,0,0.23,0.23,0,0.085
2024-01-15 20:00:00,1,20,0,-1.27,-1.27,0,0.088
2024-01-15 21:00:00,1,21,0,-0.91,-0.91,0,0.089
2024-01-15 22:00:00,1,22,0,0.98,0.98,0,0.098
2024-01-15 23:00:00,1,23,0,1.47,1.47,0,0.083
2024-01-16 00:00:00,1,0,0,-4.05,-4.05,0,0.096
2024-01-16 01:00:00,1,1,0,-2.16,-2.16,0,0.096
2024-01-16 02:00:00,1,2,0,1.57,1.57,0,0.1
2024-01-16 03:00:00,1,3,0,3.73,3.73,0,0.089
2024-01-16 04:00:00,1,4,0,0.83,0.83,0,0.085
2024-01-16 05:00:00,1,5,0,-1.5,-1.5,0,0.101
2024-01-16 06:00:00,1,6,395.68,6.98,26.98,3.533,0.121
2024-01-16 07:00:00,1,7,444.15,9.38,29.38,3.927,0.114
2024-01-16 08:00:00,1,8,512.53,7.92,27.92,4.559,0.123
2024-01-16 09:00:00,1,9,550.97,8.29,28.29,4.894,0.124
2024-01-16 10:00:00,1,10,579.05,5.26,25.26,5.206,0.116
2024-01-16 11:00:00,1,11,587.69,3.62,23.62,5.318,0.108
2024-01-16 12:00:00,1,12,617.91,2.14,22.14,5.625,0.179
2024-01-16 13:00:00,1,13,578.69,2.27,22.27,5.265,0.159
2024-01-16 14:00:00,1,14,557.25,8.44,28.44,4.946,0.194
2024-01-16 15:00:00,1,15,556.77,8.35,28.35,4.944,0.157
2024-01-16 16:00:00,1,16,510.65,3.37,23.37,4.626,0.162
2024-01-16 17:00:00,1,17,438.25,3.77,23.77,3.964,0.197
2024-01-16 18:00:00,1,18,412.36,7.71,27.71,3.671,0.163
2024-01-16 19:00:00,1,19,0,-0.62,-0.62,0,0.09
2024-01-16 20:00:00,1,20,0,1.76,1.76,0,0.087
2024-01-16 21:00:00,1,21,0,-0.56,-0.56,0,0.088
2024-01-16 22:00:00,1,22,0,2.49,2.49,0,0.091
2024-01-16 23:00:00,1,23,0,0.34,0.34,0,0.088
2024-01-17 00:00:00,1,0,0,3.09,3.09,0,0.091
2024-01-17 01:00:00,1,1,0,3.35,3.35,0,0.089
2024-01-17 02:00:00,1,2,0,4.47,4.47,0,0.102
2024-01-17 03:00:00,1,3,0,-0.38,-0.38,0,0.088
2024-01-17 04:00:00,1,4,0,-1.18,-1.18,0,0.093
2024-01-17 05:00:00,1,5,0,4.66,4.66,0,0.098
