station_id,station_name,latitude,longitude,date,depth_m,temperature_c,salinity_psu,dissolved_oxygen_ml_l
STATION_C,South Atlantic,-35.0,-20.0,2015-03-01,100,12.6,35.79,5.23
STATION_C,South Atlantic,-35.0,-20.0,2015-03-01,200,7.87,35.98,4.95
STATION_C,South Atlantic,-35.0,-20.0,2015-03-01,500,3.0,35.5,4.26
STATION_A,North Pacific,45.0,-150.0,2015-04-01,0,18.0,33.5,6.1
STATION_A,North Pacific,45.0,-150.0,2015-04-01,50,14.75,33.65,5.42
STATION_A,North Pacific,45.0,-150.0,2015-04-01,100,13.0,33.79,4.9
STATION_A,North Pacific,45.0,-150.0,2015-04-01,200,8.0,33.98,4.6
STATION_A,North Pacific,45.0,-150.0,2015-04-01,500,3.5,33.5,3.85
STATION_B,Equatorial,0.0,-30.0,2015-04-01,0,28.8,35.0,6.47
STATION_B,Equatorial,0.0,-30.0,2015-04-01,50,25.55,35.31,5.79
STATION_B,Equatorial,0.0,-30.0,2015-04-01,100,13.0,35.59,6.35
STATION_B,Equatorial,0.0,-30.0,2015-04-01,200,8.0,35.95,6.05
STATION_B,Equatorial,0.0,-30.0,2015-04-01,500,5.0,35.0,5.15
STATION_C,South Atlantic,-35.0,-20.0,2015-04-01,0,14.0,35.5,6.9
STATION_C,South Atlantic,-35.0,-20.0,2015-04-01,50,10.75,35.65,6.22
STATION_C,South Atlantic,-35.0,-20.0,2015-04-01,100,13.0,35.79,5.3
STATION_C,South Atlantic,-35.0,-20.0,2015-04-01,200,8.0,35.98,5.0
STATION_C,South Atlantic,-35.0,-20.0,2015-04-01,500,3.0,35.5,4.3
STATION_A,North Pacific,45.0,-150.0,2015-05-01,0,17.46,33.5,5.4
STATION_A,North Pacific,45.0,-150.0,2015-05-01,50,14.21,33.65,4.88
STATION_A,North Pacific,45.0,-150.0,2015-05-01,100,12.6,33.79,4.83
STATION_A,North Pacific,45.0,-150.0,2015-05-01,200,7.87,33.98,4.55
STATION_A,North Pacific,45.0,-150.0,2015-05-01,500,3.5,33.5,3.81
STATION_B,Equatorial,0.0,-30.0,2015-05-01,0,28.76,35.0,5.72
STATION_B,Equatorial,0.0,-30.0,2015-05-01,50,25.51,35.31,5.2
STATION_B,Equatorial,0.0,-30.0,2015-05-01,100,12.6,35.59,6.28
STATION_B,Equatorial,0.0,-30.0,2015-05-01,200,7.87,35.95,6.0
STATION_B,Equatorial,0.0,-30.0,2015-05-01,500,5.0,35.0,5.11
STATION_C,South Atlantic,-35.0,-20.0,2015-05-01,0,14.54,35.5,6.1
STATION_C,South Atlantic,-35.0,-20.0,2015-05-01,50,11.29,35.65,5.57
STATION_C,South Atlantic,-35.0,-20.0,2015-05-01,100,12.6,35.79,5.23
STATION_C,South Atlantic,-35.0,-20.0,2015-05-01,200,7.87,35.98,4.95
STATION_C,South Atlantic,-35.0,-20.0,2015-05-01,500,3.0,35.5,4.26
STATION_A,North Pacific,45.0,-150.0,2015-06-01,0,16.0,33.5,5.0
STATION_A,North Pacific,45.0,-150.0,2015-06-01,50,12.75,33.65,4.59
STATION_A,North Pacific,45.0,-150.0,2015-06-01,100,11.5,33.79,4.65
STATION_A,North Pacific,45.0,-150.0,2015-06-01,200,7.5,33.98,4.4
STATION_A,North Pacific,45.0,-150.0,2015-06-01,500,3.5,33.5,3.7
STATION_B,Equatorial,0.0,-30.0,2015-06-01,0,28.65,35.0,5.19
STATION_B,Equatorial,0.0,-30.0,2015-06-01,50,25.4,35.31,4.77
STATION_B,Equatorial,0.0,-30.0,2015-06-01,100,11.5,35.59,6.1
STATION_B,Equatorial,0.0,-30.0,2015-06-01,200,7.5,35.95,5.85
STATION_B,Equatorial,0.0,-30.0,2015-06-01,500,5.0,35.0,5.0
STATION_C,South Atlantic,-35.0,-20.0,2015-06-01,0,16.0,35.5,5.4
STATION_C,South Atlantic,-35.0,-20.0,2015-06-01,50,12.75,35.65,4.99
STATION_C,South Atlantic,-35.0,-20.0,2015-06-01,100,11.5,35.79,5.05
STATION_C,South Atlantic,-35.0,-20.0,2015-06-01,200,7.5,35.98,4.8
STATION_C,South Atlantic,-35.0,-20.0,2015-06-01,500,3.0,35.5,4.15
STATION_A,North Pacific,45.0,-150.0,2015-07-01,0,14.0,33.5,5.0
STATION_A,North Pacific,45.0,-150.0,2015-07-01,50,10.75,33.65,4.62
STATION_A,North Pacific,45.0,-150.0,2015-07-01,100,10.0,33.79,4.4
STATION_A,North Pacific,45.0,-150.0,2015-07-01,200,7.0,33.98,4.2
STATION_A,North Pacific,45.0,-150.0,2015-07-01,500,3.5,33.5,3.55
STATION_B,Equatorial,0.0,-30.0,2015-07-01,0,28.5,35.0,5.0
STATION_B,Equatorial,0.0,-30.0,2015-07-01,50,25.25,35.31,4.62
STATION_B,Equatorial,0.0,-30.0,2015-07-01,100,10.0,35.59,5.85
STATION_B,Equatorial,0.0,-30.0,2015-07-01,200,7.0,35.95,5.65
STATION_B,Equatorial,0.0,-30.0,2015-07-01,500,5.0,35.0,4.85
STATION_C,South Atlantic,-35.0,-20.0,2015-07-01,0,18.0,35.5,5.0
STATION_C,South Atlantic,-35.0,-20.0,2015-07-01,50,14.75,35.65,4.62
STATION_C,South Atlantic,-35.0,-20.0,2015-07-01,100,10.0,35.79,4.8
STATION_C,South Atlantic,-35.0,-20.0,2015-07-01,200,7.0,35.98,4.6
STATION_C,South Atlantic,-35.0,-20.0,2015-07-01,500,3.0,35.5,4.0
STATION_A,North Pacific,45.0,-150.0,2015-08-01,0,12.0,33.5,5.4
STATION_A,North Pacific,45.0,-150.0,2015-08-01,50,8.75,33.65,4.99
STATION_A,North Pacific,45.0,-150.0,2015-08-01,100,8.5,33.79,4.15
STATION_A,North Pacific,45.0,-150.0,2015-08-01,200,6.5,33.98,4.0
STATION_A,North Pacific,45.0,-150.0,2015-08-01,500,3.5,33.5,3.4
STATION_B,Equatorial,0.0,-30.0,2015-08-01,0,28.35,35.0,5.22
STATION_B,Equatorial,0.0,-30.0,2015-08-01,50,25.1,35.31,4.8
STATION_B,Equatorial,0.0,-30.0,2015-08-01,100,8.5,35.59,5.6
STATION_B,Equatorial,0.0,-30.0,2015-08-01,200,6.5,35.95,5.45
STATION_B,Equatorial,0.0,-30.0,2015-08-01,500,5.0,35.0,4.7
STATION_C,South Atlantic,-35.0,-20.0,2015-08-01,0,20.0,35.5,5.0
STATION_C,South Atlantic,-35.0,-20.0,2015-08-01,50,16.75,35.65,4.59
STATION_C,South Atlantic,-35.0,-20.0,2015-08-01,100,8.5,35.79,4.55
STATION_C,South Atlantic,-35.0,-20.0,2015-08-01,200,6.5,35.98,4.4
STATION_C,South Atlantic,-35.0,-20.0,2015-08-01,500,3.0,35.5,3.85
STATION_A,North Pacific,45.0,-150.0,2015-09-01,0,10.54,33.5,6.1
STATION_A,North Pacific,45.0,-150.0,2015-09-01,50,7.29,33.65,5.57
STATION_A,North Pacific,45.0,-150.0,2015-09-01,100,7.4,33.79,3.97
STATION_A,North Pacific,45.0,-150.0,2015-09-01,200,6.13,33.98,3.85
STATION_A,North Pacific,45.0,-150.0,2015-09-01,500,3.5,33.5,3.29
STATION_B,Equatorial,0.0,-30.0,2015-09-01,0,28.24,35.0,5.78
STATION_B,Equatorial,0.0,-30.0,2015-09-01,50,24.99,35.31,5.25
STATION_B,Equatorial,0.0,-30.0,2015-09-01,100,7.4,35.59,5.42
STATION_B,Equatorial,0.0,-30.0,2015-09-01,200,6.13,35.95,5.3
STATION_B,Equatorial,0.0,-30.0,2015-09-01,500,5.0,35.0,4.59
STATION_C,South Atlantic,-35.0,-20.0,2015-09-01,0,21.46,35.5,5.4
STATION_C,South Atlantic,-35.0,-20.0,2015-09-01,50,18.21,35.65,4.88
STATION_C,South Atlantic,-35.0,-20.0,2015-09-01,100,7.4,35.79,4.37
STATION_C,South Atlantic,-35.0,-20.0,2015-09-01,200,6.13,35.98,4.25
STATION_C,South Atlantic,-35.0,-20.0,2015-09-01,500,3.0,35.5,3.74
STATION_A,North Pacific,45.0,-150.0,2015-10-01,0,10.0,33.5,6.9
STATION_A,North Pacific,45.0,-150.0,2015-10-01,50,6.75,33.65,6.22
STATION_A,North Pacific,45.0,-150.0,2015-10-01,100,7.0,33.79,3.9
STATION_A,North Pacific,45.0,-150.0,2015-10-01,200,6.0,33.98,3.8
STATION_A,North Pacific,45.0,-150.0,2015-10-01,500,3.5,33.5,3.25
STATION_B,Equatorial,0.0,-30.0,2015-10-01,0,28.2,35.0,6.53
STATION_B,Equatorial,0.0,-30.0,2015-10-01,50,24.95,35.31,5.86
STATION_B,Equatorial,0.0,-30.0,2015-10-01,100,7.0,35.59,5.35
STATION_B,Equatorial,0.0,-30.0,2015-10-01,200,6.0,35.95,5.25
STATION_B,Equatorial,0.0,-30.0,2015-10-01,500,5.0,35.0,4.55
STATION_C,South Atlantic,-35.0,-20.0,2015-10-01,0,22.0,35.5,6.1
STATION_C,South Atlantic,-35.0,-20.0,2015-10-01,50,18.75,35.65,5.42
STATION_C,South Atlantic,-35.0,-20.0,2015-10-01,100,7.0,35.79,4.3
STATION_C,South Atlantic,-35.0,-20.0,2015-10-01,200,6.0,35.98,4.2
STATION_C,South Atlantic,-35.0,-20.0,2015-10-01,500,3.0,35.5,3.7
STATION_A,North Pacific,45.0,-150.0,2015-11-01,0,10.54,33.5,7.6
STATION_A,North Pacific,45.0,-150.0,2015-11-01,50,7.29,33.65,6.77
STATION_A,North Pacific,45.0,-150.0,2015-11-01,100,7.4,33.79,3.97
STATION_A,North Pacific,45.0,-150.0,2015-11-01,200,6.13,33.98,3.85
STATION_A,North Pacific,45.0,-150.0,2015-11-01,500,3.5,33.5,3.29
STATION_B,Equatorial,0.0,-30.0,2015-11-01,0,28.24,35.0,7.28
STATION_B,Equatorial,0.0,-30.0,2015-11-01,50,24.99,35.31,6.45
STATION_B,Equatorial,0.0,-30.0,2015-11-01,100,7.4,35.59,5.42
STATION_B,Equatorial,0.0,-30.0,2015-11-01,200,6.13,35.95,5.3
STATION_B,Equatorial,0.0,-30.0,2015-11-01,500,5.0,35.0,4.59
STATION_C,South Atlantic,-35.0,-20.0,2015-11-01,0,21.46,35.5,6.9
STATION_C,South Atlantic,-35.0,-20.0,2015-11-01,50,18.21,35.65,6.08
STATION_C,South Atlantic,-35.0,-20.0,2015-11-01,100,7.4,35.79,4.37
STATION_C,South Atlantic,-35.0,-20.0,2015-11-01,200,6.13,35.98,4.25
STATION_C,South Atlantic,-35.0,-20.0,2015-11-01,500,3.0,35.5,3.74
STATION_A,North Pacific,45.0,-150.0,2015-12-01,0,12.0,33.5,8.0
STATION_A,North Pacific,45.0,-150.0,2015-12-01,50,8.75,33.65,7.06
STATION_A,North Pacific,45.0,-150.0,2015-12-01,100,8.5,33.79,4.15
STATION_A,North Pacific,45.0,-150.0,2015-12-01,200,6.5,33.98,4.0
STATION_A,North Pacific,45.0,-150.0,2015-12-01,500,3.5,33.5,3.4
STATION_B,Equatorial,0.0,-30.0,2015-12-01,0,28.35,35.0,7.81
STATION_B,Equatorial,0.0,-30.0,2015-12-01,50,25.1,35.31,6.88
STATION_B,Equatorial,0.0,-30.0,2015-12-01,100,8.5,35.59,5.6
STATION_B,Equatorial,0.0,-30.0,2015-12-01,200,6.5,35.95,5.45
STATION_B,Equatorial,0.0,-30.0,2015-12-01,500,5.0,35.0,4.7
STATION_C,South Atlantic,-35.0,-20.0,2015-12-01,0,20.0,35.5,7.6
STATION_C,South Atlantic,-35.0,-20.0,2015-12-01,50,16.75,35.65,6.66
STATION_C,South Atlantic,-35.0,-20.0,2015-12-01,100,8.5,35.79,4.55
STATION_C,South Atlantic,-35.0,-20.0,2015-12-01,200,6.5,35.98,4.4
STATION_C,South Atlantic,-35.0,-20.0,2015-12-01,500,3.0,35.5,3.85
STATION_A,North Pacific,45.0,-150.0,2016-01-01,0,14.02,33.5,8.0
STATION_A,North Pacific,45.0,-150.0,2016-01-01,50,10.77,33.65,7.02
STATION_A,North Pacific,45.0,-150.0,2016-01-01,100,10.02,33.79,4.4
STATION_A,North Pacific,45.0,-150.0,2016-01-01,200,7.01,33.98,4.2
STATION_A,North Pacific,45.0,-150.0,2016-01-01,500,3.51,33.5,3.55
STATION_B,Equatorial,0.0,-30.0,2016-01-01,0,28.52,35.0,8.0
STATION_B,Equatorial,0.0,-30.0,2016-01-01,50,25.27,35.31,7.02
STATION_B,Equatorial,0.0,-30.0,2016-01-01,100,10.02,35.59,5.85
STATION_B,Equatorial,0.0,-30.0,2016-01-01,200,7.01,35.95,5.65
STATION_B,Equatorial,0.0,-30.0,2016-01-01,500,5.01,35.0,4.85
STATION_C,South Atlantic,-35.0,-20.0,2016-01-01,0,18.02,35.5,8.0
STATION_C,South Atlantic,-35.0,-20.0,2016-01-01,50,14.77,35.65,7.02
STATION_C,South Atlantic,-35.0,-20.0,2016-01-01,100,10.02,35.79,4.8
STATION_C,South Atlantic,-35.0,-20.0,2016-01-01,200,7.01,35.98,4.6
STATION_C,South Atlantic,-35.0,-20.0,2016-01-01,500,3.01,35.5,4.0
STATION_A,North Pacific,45.0,-150.0,2016-02-01,0,16.02,33.5,7.6
STATION_A,North Pacific,45.0,-150.0,2016-02-01,50,12.77,33.65,6.66
STATION_A,North Pacific,45.0,-150.0,2016-02-01,100,11.52,33.79,4.65
STATION_A,North Pacific,45.0,-150.0,2016-02-01,200,7.51,33.98,4.4
STATION_A,North Pacific,45.0,-150.0,2016-02-01,500,3.51,33.5,3.7
STATION_B,Equatorial,0.0,-30.0,2016-02-01,0,28.66,35.0,7.78
STATION_B,Equatorial,0.0,-30.0,2016-02-01,50,25.41,35.31,6.85
STATION_B,Equatorial,0.0,-30.0,2016-02-01,100,11.52,35.59,6.1
STATION_B,Equatorial,0.0,-30.0,2016-02-01,200,7.51,35.95,5.85
STATION_B,Equatorial,0.0,-30.0,2016-02-01,500,5.01,35.0,5.0
STATION_C,South Atlantic,-35.0,-20.0,2016-02-01,0,16.02,35.5,8.0
STATION_C,South Atlantic,-35.0,-20.0,2016-02-01,50,12.77,35.65,7.06
STATION_C,South Atlantic,-35.0,-20.0,2016-02-01,100,11.52,35.79,5.05
STATION_C,South Atlantic,-35.0,-20.0,2016-02-01,200,7.51,35.98,4.8
STATION_C,South Atlantic,-35.0,-20.0,2016-02-01,500,3.01,35.5,4.15
STATION_A,North Pacific,45.0,-150.0,2016-03-01,0,17.48,33.5,6.9
STATION_A,North Pacific,45.0,-150.0,2016-03-01,50,14.23,33.65,6.08
STATION_A,North Pacific,45.0,-150.0,2016-03-01,100,12.61,33.79,4.83
STATION_A,North Pacific,45.0,-150.0,2016-03-01,200,7.88,33.98,4.54
STATION_A,North Pacific,45.0,-150.0,2016-03-01,500,3.51,33.5,3.81
STATION_B,Equatorial,0.0,-30.0,2016-03-01,0,28.77,35.0,7.22
STATION_B,Equatorial,0.0,-30.0,2016-03-01,50,25.52,35.31,6.4
STATION_B,Equatorial,0.0,-30.0,2016-03-01,100,12.61,35.59,6.28
STATION_B,Equatorial,0.0,-30.0,2016-03-01,200,7.88,35.95,5.99
STATION_B,Equatorial,0.0,-30.0,2016-03-01,500,5.01,35.0,5.11
STATION_C,South Atlantic,-35.0,-20.0,2016-03-01,0,14.55,35.5,7.59
STATION_C,South Atlantic,-35.0,-20.0,2016-03-01,50,11.3,35.65,6.77
STATION_C,South Atlantic,-35.0,-20.0,2016-03-01,100,12.61,35.79,5.23
STATION_C,South Atlantic,-35.0,-20.0,2016-03-01,200,7.88,35.98,4.94
STATION_C,South Atlantic,-35.0,-20.0,2016-03-01,500,3.01,35.5,4.26
STATION_A,North Pacific,45.0,-150.0,2016-04-01,0,18.02,33.5,6.1
STATION_A,North Pacific,45.0,-150.0,2016-04-01,50,14.77,33.65,5.42
STATION_A,North Pacific,45.0,-150.0,2016-04-01,100,13.02,33.79,4.9
STATION_A,North Pacific,45.0,-150.0,2016-04-01,200,8.02,33.98,4.6
STATION_A,North Pacific,45.0,-150.0,2016-04-01,500,3.51,33.5,3.85
STATION_B,Equatorial,0.0,-30.0,2016-04-01,0,28.82,35.0,6.47
STATION_B,Equatorial,0.0,-30.0,2016-04-01,50,25.57,35.31,5.79
STATION_B,Equatorial,0.0,-30.0,2016-04-01,100,13.02,35.59,6.35
STATION_B,Equatorial,0.0,-30.0,2016-04-01,200,8.02,35.95,6.05
STATION_B,Equatorial,0.0,-30.0,2016-04-01,500,5.01,35.0,5.15
STATION_C,South Atlantic,-35.0,-20.0,2016-04-01,0,14.02,35.5,6.9
STATION_C,South Atlantic,-35.0,-20.0,2016-04-01,50,10.77,35.65,6.22
STATION_C,South Atlantic,-35.0,-20.0,2016-04-01,100,13.02,35.79,5.3
STATION_C,South Atlantic,-35.0,-20.0,2016-04-01,200,8.02,35.98,5.0
STATION_C,South Atlantic,-35.0,-20.0,2016-04-01,500,3.01,35.5,4.3
STATION_A,North Pacific,45.0,-150.0,2016-05-01,0,17.48,33.5,5.4
STATION_A,North Pacific,45.0,-150.0,2016-05-01,50,14.23,33.65,4.88
STATION_A,North Pacific,45.0,-150.0,2016-05-01,100,12.61,33.79,4.83
STATION_A,North Pacific,45.0,-150.0,2016-05-01,200,7.88,33.98,4.54
STATION_A,North Pacific,45.0,-150.0,2016-05-01,500,3.51,33.5,3.81
STATION_B,Equatorial,0.0,-30.0,2016-05-01,0,28.77,35.0,5.72
STATION_B,Equatorial,0.0,-30.0,2016-05-01,50,25.52,35.31,5.2
STATION_B,Equatorial,0.0,-30.0,2016-05-01,100,12.61,35.59,6.28
STATION_B,Equatorial,0.0,-30.0,2016-05-01,200,7.88,35.95,5.99
STATION_B,Equatorial,0.0,-30.0,2016-05-01,500,5.01,35.0,5.11
STATION_C,South Atlantic,-35.0,-20.0,2016-05-01,0,14.55,35.5,6.09
STATION_C,South Atlantic,-35.0,-20.0,2016-05-01,50,11.3,35.65,5.57
STATION_C,South Atlantic,-35.0,-20.0,2016-05-01,100,12.61,35.79,5.23
STATION_C,South Atlantic,-35.0,-20.0,2016-05-01,200,7.88,35.98,4.94
STATION_C,South Atlantic,-35.0,-20.0,2016-05-01,500,3.01,35.5,4.26
STATION_A,North Pacific,45.0,-150.0,2016-06-01,0,16.02,33.5,5.0
STATION_A,North Pacific,45.0,-150.0,2016-06-01,50,12.77,33.65,4.58
STATION_A,North Pacific,45.0,-150.0,2016-06-01,100,11.52,33.79,4.65
STATION_A,North Pacific,45.0,-150.0,2016-06-01,200,7.51,33.98,4.4
STATION_A,North Pacific,45.0,-150.0,2016-06-01,500,3.51,33.5,3.7
STATION_B,Equatorial,0.0,-30.0,2016-06-01,0,28.66,35.0,5.18
STATION_B,Equatorial,0.0,-30.0,2016-06-01,50,25.41,35.31,4.77
STATION_B,Equatorial,0.0,-30.0,2016-06-01,100,11.52,35.59,6.1
STATION_B,Equatorial,0.0,-30.0,2016-06-01,200,7.51,35.95,5.85
STATION_B,Equatorial,0.0,-30.0,2016-06-01,500,5.01,35.0,5.0
STATION_C,South Atlantic,-35.0,-20.0,2016-06-01,0,16.02,35.5,5.4
STATION_C,South Atlantic,-35.0,-20.0,2016-06-01,50,12.77,35.65,4.98
STATION_C,South Atlantic,-35.0,-20.0,2016-06-01,100,11.52,35.79,5.05
STATION_C,South Atlantic,-35.0,-20.0,2016-06-01,200,7.51,35.98,4.8
STATION_C,South Atlantic,-35.0,-20.0,2016-06-01,500,3.01,35.5,4.15
STATION_A,North Pacific,45.0,-150.0,2016-07-01,0,14.02,33.5,5.0
STATION_A,North Pacific,45.0,-150.0,2016-07-01,50,10.77,33.65,4.62
STATION_A,North Pacific,45.0,-150.0,2016-07-01,100,10.02,33.79,4.4
STATION_A,North Pacific,45.0,-150.0,2016-07-01,200,7.01,33.98,4.2
STATION_A,North Pacific,45.0,-150.0,2016-07-01,500,3.51,33.5,3.55
STATION_B,Equatorial,0.0,-30.0,2016-07-01,0,28.52,35.0,5.0
STATION_B,Equatorial,0.0,-30.0,2016-07-01,50,25.27,35.31,4.62
STATION_B,Equatorial,0.0,-30.0,2016-07-01,100,10.02,35.59,5.85
STATION_B,Equatorial,0.0,-30.0,2016-07-01,200,7.01,35.95,5.65
STATION_B,Equatorial,0.0,-30.0,2016-07-01,500,5.01,35.0,4.85
STATION_C,South Atlantic,-35.0,-20.0,2016-07-01,0,18.02,35.5,5.0
STATION_C,South Atlantic,-35.0,-20.0,2016-07-01,50,14.77,35.65,4.62
STATION_C,South Atlantic,-35.0,-20.0,2016-07-01,100,10.02,35.79,4.8
STATION_C,South Atlantic,-35.0,-20.0,2016-07-01,200,7.01,35.98,4.6
STATION_C,South Atlantic,-35.0,-20.0,2016-07-01,500,3.01,35.5,4.0
STATION_A,North Pacific,45.0,-150.0,2016-08-01,0,12.02,33.5,5.4
STATION_A,North Pacific,45.0,-150.0,2016-08-01,50,8.77,33.65,4.98
STATION_A,North Pacific,45.0,-150.0,2016-08-01,100,8.52,33.79,4.15
STATION_A,North Pacific,45.0,-150.0,2016-08-01,200,6.51,33.98,4.0
STATION_A,North Pacific,45.0,-150.0,2016-08-01,500,3.51,33.5,3.4
STATION_B,Equatorial,0.0,-30.0,2016-08-01,0,28.37,35.0,5.21
STATION_B,Equatorial,0.0,-30.0,2016-08-01,50,25.12,35.31,4.8
STATION_B,Equatorial,0.0,-30.0,2016-08-01,100,8.52,35.59,5.6
STATION_B,Equatorial,0.0,-30.0,2016-08-01,200,6.51,35.95,5.45
STATION_B,Equatorial,0.0,-30.0,2016-08-01,500,5.01,35.0,4.7
STATION_C,South Atlantic,-35.0,-20.0,2016-08-01,0,20.02,35.5,5.0
STATION_C,South Atlantic,-35.0,-20.0,2016-08-01,50,16.77,35.65,4.58
STATION_C,South Atlantic,-35.0,-20.0,2016-08-01,100,8.52,35.79,4.55
STATION_C,South Atlantic,-35.0,-20.0,2016-08-01,200,6.51,35.98,4.4
STATION_C,South Atlantic,-35.0,-20.0,2016-08-01,500,3.01,35.5,3.85
STATION_A,North Pacific,45.0,-150.0,2016-09-01,0,10.55,33.5,6.09
STATION_A,North Pacific,45.0,-150.0,2016-09-01,50,7.3,33.65,5.57
STATION_A,North Pacific,45.0,-150.0,2016-09-01,100,7.42,33.79,3.97
STATION_A,North Pacific,45.0,-150.0,2016-09-01,200,6.15,33.98,3.85
STATION_A,North Pacific,45.0,-150.0,2016-09-01,500,3.51,33.5,3.29
STATION_B,Equatorial,0.0,-30.0,2016-09-01,0,28.26,35.0,5.77
STATION_B,Equatorial,0.0,-30.0,2016-09-01,50,25.01,35.31,5.25
STATION_B,Equatorial,0.0,-30.0,2016-09-01,100,7.42,35.59,5.42
STATION_B,Equatorial,0.0,-30.0,2016-09-01,200,6.15,35.95,5.3
STATION_B,Equatorial,0.0,-30.0,2016-09-01,500,5.01,35.0,4.59
STATION_C,South Atlantic,-35.0,-20.0,2016-09-01,0,21.48,35.5,5.4
STATION_C,South Atlantic,-35.0,-20.0,2016-09-01,50,18.23,35.65,4.88
STATION_C,South Atlantic,-35.0,-20.0,2016-09-01,100,7.42,35.79,4.37
STATION_C,South Atlantic,-35.0,-20.0,2016-09-01,200,6.15,35.98,4.25
STATION_C,South Atlantic,-35.0,-20.0,2016-09-01,500,3.01,35.5,3.74
STATION_A,North Pacific,45.0,-150.0,2016-10-01,0,10.02,33.5,6.9
STATION_A,North Pacific,45.0,-150.0,2016-10-01,50,6.77,33.65,6.22
STATION_A,North Pacific,45.0,-150.0,2016-10-01,100,7.02,33.79,3.9
STATION_A,North Pacific,45.0,-150.0,2016-10-01,200,6.01,33.98,3.8
STATION_A,North Pacific,45.0,-150.0,2016-10-01,500,3.51,33.5,3.25
STATION_B,Equatorial,0.0,-30.0,2016-10-01,0,28.21,35.0,6.53
STATION_B,Equatorial,0.0,-30.0,2016-10-01,50,24.96,35.31,5.85
STATION_B,Equatorial,0.0,-30.0,2016-10-01,100,7.02,35.59,5.35
STATION_B,Equatorial,0.0,-30.0,2016-10-01,200,6.01,35.95,5.25
STATION_B,Equatorial,0.0,-30.0,2016-10-01,500,5.01,35.0,4.55
